feature_name,train_missing_rate,train_n_unique,static_status,duplicate_of,family,ALL,h1,h2,h3,best_importance,selected,selection_reason
branch_lag_1,0.0,1083,PASS_STATIC,,branch_history,0.010489693440888709,0.03173887033046513,-0.03766822212436838,0.009708957366581866,0.03173887033046513,True,PERMUTATION_IMPORTANCE
branch_lag_2,0.05474452554744526,1029,PASS_STATIC,,branch_history,0.004983344633436582,0.008658509913854612,0.023854475651437168,0.0013408653179942942,0.023854475651437168,True,PERMUTATION_IMPORTANCE
branch_lag_3,0.10948905109489052,975,PASS_STATIC,,branch_history,-6.770711101611315e-06,0.004179814444312091,-0.009672188521422709,-0.0018923829267729342,0.004179814444312091,True,PERMUTATION_IMPORTANCE
branch_lag_6,0.2737226277372263,813,PASS_STATIC,,branch_history,-0.012459464804485842,-0.004196446397267933,-0.018774272660291857,-0.012046755525341346,-0.004196446397267933,False,NOT_SELECTED
branch_lag_12,0.5620437956204379,506,PASS_STATIC,,branch_history,-0.0015860588007153287,-0.002123221742853343,-0.01438211517336263,-0.0033911926707933526,-0.0015860588007153287,False,NOT_SELECTED
branch_roll_3_mean,0.0,1095,PASS_STATIC,,branch_history,0.11818304713933997,0.1346432078392962,0.32781235357106997,0.13066007313225825,0.32781235357106997,True,PERMUTATION_IMPORTANCE
branch_roll_3_sum,0.0,1093,PASS_STATIC,,branch_history,-0.0009219232682533829,-0.0017472515911288178,0.004130426439588164,-0.0004135837920469787,0.004130426439588164,True,PERMUTATION_IMPORTANCE
branch_roll_3_std,0.05474452554744526,1035,PASS_STATIC,,branch_history,0.007265172306084949,0.007388596727454788,0.005775119667520978,0.011121549872757625,0.011121549872757625,True,PERMUTATION_IMPORTANCE
branch_roll_3_observed_count,0.0,3,PASS_STATIC,,branch_history,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
branch_roll_3_coverage,0.0,1,DROP_CONSTANT,,,,,,,,False,
branch_roll_6_mean,0.0,1113,PASS_STATIC,,branch_history,0.020995569694060717,0.02877593270334347,0.08990572371384586,0.012367549575242193,0.08990572371384586,True,PERMUTATION_IMPORTANCE
branch_roll_6_sum,0.0,1105,PASS_STATIC,,branch_history,0.0006987159539866838,0.0025437922029284965,0.00954322015884379,0.002597923821556075,0.00954322015884379,True,PERMUTATION_IMPORTANCE
branch_roll_6_std,0.05474452554744526,1053,PASS_STATIC,,branch_history,0.0011548372836890086,0.0006787203354088889,-0.007451275779753352,-0.0038438129423271072,0.0011548372836890086,True,PERMUTATION_IMPORTANCE
branch_roll_6_observed_count,0.0,6,PASS_STATIC,,branch_history,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
branch_roll_6_coverage,0.0,1,DROP_CONSTANT,,,,,,,,False,
branch_roll_12_mean,0.0,1137,PASS_STATIC,,branch_history,0.09516120647764886,0.13907127250667894,0.09835042005850125,0.10471384152116309,0.13907127250667894,True,PERMUTATION_IMPORTANCE
branch_roll_12_sum,0.0,1111,PASS_STATIC,,branch_history,0.025780221389150842,0.027462533001832934,0.07124674091757044,0.020178843028502508,0.07124674091757044,True,PERMUTATION_IMPORTANCE
branch_roll_12_std,0.05474452554744526,1077,PASS_STATIC,,branch_history,0.0026022364349336524,0.005752696492714066,0.0032590071333796766,-0.005096511602953241,0.005752696492714066,True,PERMUTATION_IMPORTANCE
branch_roll_12_observed_count,0.0,12,PASS_STATIC,,branch_history,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
branch_roll_12_coverage,0.0,1,DROP_CONSTANT,,,,,,,,False,
branch_history_length_months,0.0,23,PASS_STATIC,,branch_history,0.007301393535102202,0.005900608966391302,0.023232891190369753,0.005458934452442943,0.023232891190369753,True,PERMUTATION_IMPORTANCE
branch_observed_month_count_to_origin,0.0,23,PASS_STATIC,,branch_history,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
branch_positive_month_count_to_origin,0.0,23,PASS_STATIC,,branch_history,-2.0338793257662635e-05,-0.00013892364257053758,0.004634585148042825,0.00022497250800584956,0.004634585148042825,True,PERMUTATION_IMPORTANCE
branch_positive_rate_to_origin,0.0,37,PASS_STATIC,,branch_history,-0.00020554801412070445,-0.00019952279708518317,0.0,-0.00025704988638208803,0.0,False,NOT_SELECTED
months_since_last_branch_positive,0.0,22,PASS_STATIC,,branch_history,0.0,0.0,0.0,0.0,0.0,False,NOT_SELECTED
branch_observed_pair_count_lag_1,0.0,270,PASS_STATIC,,branch_composition,0.0024316532416969183,0.01152345081646114,0.006810693018091563,0.005371858141647479,0.01152345081646114,True,PERMUTATION_IMPORTANCE
