model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
naive_1,PAIR,14166,1.2287040156337043,103.3955929690809,518687.17000000004,0.4351144612966431,1192070.6300000001,1710757.8
seasonal_naive_12,PAIR,14166,1.3164802743273691,110.78197585768741,-404233.43000000005,-0.3391019121073388,1192070.6300000001,787837.2
moving_average_3,PAIR,14166,0.9173393274524345,77.19421643371453,227807.43000000002,0.19110229231970927,1192070.6300000001,1419878.06
croston_sba,PAIR,14166,2.700442013919422,227.2425252584635,2669410.6851973236,2.239305807909489,1192070.6300000001,3861481.3151973234
tsb,PAIR,14166,1.9150956685479663,161.15553438629433,1735859.5717229021,1.4561717469063908,1192070.6300000001,2927930.2017229022
lightgbm_tweedie,PAIR,14166,0.7549446719126577,63.528686337855795,-304560.17692590225,-0.25548836558946364,1192070.6300000001,887510.4530740976
catboost_tweedie,PAIR,14166,0.8895965314924326,74.85965676563596,4736.5008945197915,0.00397333914226189,1192070.6300000001,1196807.1308945199
hurdle,PAIR,14166,0.7529722454261791,63.36270640813922,-765655.3065507973,-0.6422902194568767,1192070.6300000001,426415.3234492027
behavior_gated,PAIR,14166,0.7529722454261791,63.36270640813922,-765655.3065507973,-0.6422902194568767,1192070.6300000001,426415.3234492027
naive_1,BASE_SKU,1227,0.6388710793084467,620.6841483292583,518687.17000000004,0.4351144612966432,1192070.63,1710757.7999999998
seasonal_naive_12,BASE_SKU,1227,0.972314811581257,944.6356397718013,-404233.42999999993,-0.3391019121073388,1192070.63,787837.2
moving_average_3,BASE_SKU,1227,0.43827917310570774,425.80255093724537,227807.43000000005,0.19110229231970935,1192070.63,1419878.06
croston_sba,BASE_SKU,1227,2.2702384271029104,2205.6108818637126,2669410.685197323,2.239305807909489,1192070.63,3861481.3151973234
tsb,BASE_SKU,1227,1.491556488843375,1449.0959114393722,1735859.5717229024,1.4561717469063913,1192070.63,2927930.2017229022
lightgbm_tweedie,BASE_SKU,1227,0.4155126588282952,403.6841377199844,-304560.17692590225,-0.2554883655894637,1192070.63,887510.4530740976
catboost_tweedie,BASE_SKU,1227,0.4682999164552984,454.96868495339436,4736.500894519806,0.003973339142261903,1192070.63,1196807.1308945199
hurdle,BASE_SKU,1227,0.6562591826860786,637.577259452224,-765655.3065507973,-0.6422902194568768,1192070.63,426415.3234492027
behavior_gated,BASE_SKU,1227,0.6562591826860786,637.577259452224,-765655.3065507973,-0.6422902194568768,1192070.63,426415.3234492027
naive_1,BRANCH,57,0.5038738937809415,10537.776666666667,518687.1700000001,0.43511446129664316,1192070.6300000001,1710757.8000000003
seasonal_naive_12,BRANCH,57,0.6187556269212,12940.358070175436,-404233.43,-0.33910191210733875,1192070.6300000001,787837.2
moving_average_3,BRANCH,57,0.2805967713507042,5868.266140350877,227807.43000000002,0.19110229231970927,1192070.6300000001,1419878.06
croston_sba,BRANCH,57,2.239305807909489,46831.766406970586,2669410.6851973236,2.239305807909489,1192070.6300000001,3861481.315197323
tsb,BRANCH,57,1.4565869289381377,30462.359614544755,1735859.5717229024,1.456171746906391,1192070.6300000001,2927930.2017229022
lightgbm_tweedie,BRANCH,57,0.3075286782551029,6431.507109309259,-304560.17692590225,-0.25548836558946364,1192070.6300000001,887510.4530740977
catboost_tweedie,BRANCH,57,0.25975986628240677,5432.493113122533,4736.500894519802,0.0039733391422618995,1192070.6300000001,1196807.1308945199
hurdle,BRANCH,57,0.6422902194568767,13432.549237733287,-765655.3065507973,-0.6422902194568767,1192070.6300000001,426415.32344920276
behavior_gated,BRANCH,57,0.6422902194568767,13432.549237733287,-765655.3065507973,-0.6422902194568767,1192070.6300000001,426415.32344920276
naive_1,PORTFOLIO,1,0.43511446129664333,518687.17000000016,518687.17000000016,0.43511446129664333,1192070.63,1710757.8
seasonal_naive_12,PORTFOLIO,1,0.3391019121073388,404233.42999999993,-404233.42999999993,-0.3391019121073388,1192070.63,787837.2
moving_average_3,PORTFOLIO,1,0.19110229231970943,227807.43000000017,227807.43000000017,0.19110229231970943,1192070.63,1419878.06
croston_sba,PORTFOLIO,1,2.2393058079094894,2669410.6851973236,2669410.6851973236,2.2393058079094894,1192070.63,3861481.3151973234
tsb,PORTFOLIO,1,1.4561717469063913,1735859.5717229024,1735859.5717229024,1.4561717469063913,1192070.63,2927930.2017229022
lightgbm_tweedie,PORTFOLIO,1,0.2554883655894636,304560.17692590214,-304560.17692590214,-0.2554883655894636,1192070.63,887510.4530740977
catboost_tweedie,PORTFOLIO,1,0.003973339142262037,4736.500894519966,4736.500894519966,0.003973339142262037,1192070.63,1196807.1308945199
hurdle,PORTFOLIO,1,0.6422902194568767,765655.3065507972,-765655.3065507972,-0.6422902194568767,1192070.63,426415.3234492027
behavior_gated,PORTFOLIO,1,0.6422902194568767,765655.3065507972,-765655.3065507972,-0.6422902194568767,1192070.63,426415.3234492027
