model,level,transition,n_units,revision_mae_m2,revision_ratio_vs_old_forecast,signed_revision_m2
naive_1,PAIR,H2_TO_H1,125612,52.408947313950904,1.075605870129149,-435073.55000000005
seasonal_naive_12,PAIR,H2_TO_H1,125612,38.605398051141606,1.1204953691340749,195361.9200000001
moving_average_3,PAIR,H2_TO_H1,125612,20.235162059888122,0.4093947121321343,-187324.38333333336
croston_sba,PAIR,H2_TO_H1,125612,4.44778582801926,0.043837436633037914,-216632.9375920702
tsb,PAIR,H2_TO_H1,125612,7.484914701103897,0.08398749114074888,-517414.88937041356
lightgbm_tweedie,PAIR,H2_TO_H1,125612,14.056911619133219,0.4127580530329183,376769.4386517614
hurdle,PAIR,H2_TO_H1,125612,16.6264580275058,1.2324890526831127,965747.4493562633
behavior_gated,PAIR,H2_TO_H1,125612,16.573768107672695,1.1324898117387086,842401.6516071127
naive_1,BASE_SKU,H2_TO_H1,11625,289.15294365591393,0.549208406415574,-435073.55
seasonal_naive_12,BASE_SKU,H2_TO_H1,11625,233.83245763440863,0.6280998020457926,195361.91999999998
moving_average_3,BASE_SKU,H2_TO_H1,11625,130.00969376344085,0.24342944465035296,-187324.38333333333
croston_sba,BASE_SKU,H2_TO_H1,11625,30.641652620044834,0.02794958090572579,-216632.93759207026
tsb,BASE_SKU,H2_TO_H1,11625,53.83456891588179,0.05590502211972636,-517414.8893704136
lightgbm_tweedie,BASE_SKU,H2_TO_H1,11625,111.72763147170456,0.3036183838453366,376769.4386517614
hurdle,BASE_SKU,H2_TO_H1,11625,151.9784652119735,1.0426227945233846,965747.4493562633
behavior_gated,BASE_SKU,H2_TO_H1,11625,147.80257312961086,0.9346669181642745,842401.6516071128
naive_1,PAIR,H3_TO_H2,125295,52.39734035675805,1.0718597198861737,-474520.96
seasonal_naive_12,PAIR,H3_TO_H2,125295,38.629919549862315,1.1200170727466223,199645.78999999998
moving_average_3,PAIR,H3_TO_H2,125295,20.216231294145818,0.4085208335078405,-193712.34666666665
croston_sba,PAIR,H3_TO_H2,125295,4.431224466637607,0.04366791092735757,-216075.19442558853
tsb,PAIR,H3_TO_H2,125295,7.478846864071816,0.08392497564670863,-517911.1297972933
lightgbm_tweedie,PAIR,H3_TO_H2,125295,10.704455765708015,0.3613526970040952,108060.0099397308
hurdle,PAIR,H3_TO_H2,125295,12.662667486645395,1.0232670984623096,3554.5663641037027
behavior_gated,PAIR,H3_TO_H2,125295,13.73736522856493,0.9811439284655868,-56471.53347912447
naive_1,BASE_SKU,H3_TO_H2,11622,288.4728187919463,0.5473696788859916,-474520.96
seasonal_naive_12,BASE_SKU,H3_TO_H2,11622,233.2418852176906,0.6272699934054133,199645.78999999998
moving_average_3,BASE_SKU,H3_TO_H2,11622,130.02637010267884,0.24372079211094333,-193712.34666666665
croston_sba,BASE_SKU,H3_TO_H2,11622,30.64885839119563,0.02801561102247785,-216075.19442558853
tsb,BASE_SKU,H3_TO_H2,11622,53.79926727919988,0.05599897458851688,-517911.12979729334
lightgbm_tweedie,BASE_SKU,H3_TO_H2,11622,84.84969885689762,0.26568323126272475,108060.0099397308
hurdle,BASE_SKU,H3_TO_H2,11622,120.00151241522727,0.899492730512997,3554.566364103721
behavior_gated,BASE_SKU,H3_TO_H2,11622,123.82675993781885,0.8203343851682708,-56471.53347912445
