origin,calibration_start_target_month,fit_rows,calibration_rows,evaluation_rows,horizon_rows.H1.fit,horizon_rows.H1.calibration,horizon_rows.H1.evaluation,horizon_rows.H1.hurdle_threshold,horizon_rows.H2.fit,horizon_rows.H2.calibration,horizon_rows.H2.evaluation,horizon_rows.H2.hurdle_threshold,horizon_rows.H3.fit,horizon_rows.H3.calibration,horizon_rows.H3.evaluation,horizon_rows.H3.hurdle_threshold
2025-01-01,2024-11-01,243649,53475,22201,95870,19421,7410,0.65,81051,17796,7397,0.7,66728,16258,7394,0.55
2025-02-01,2024-12-01,288597,58357,23690,111586,20823,7911,0.75,96014,19582,7904,0.95,80997,17952,7875,0.95
2025-03-01,2025-01-01,335649,62921,26773,128040,22156,8952,0.8,111692,21004,8918,0.75,95917,19761,8903,0.8
2025-04-01,2025-02-01,383851,68170,30075,144753,24273,10025,0.75,127806,22540,10017,0.75,111292,21357,10033,0.65
2025-05-01,2025-03-01,435696,73603,33554,162391,26888,11191,0.75,145231,24219,11189,0.6,128074,22496,11174,0.6
2025-06-01,2025-04-01,488894,81179,35700,180579,30168,11907,0.7,162842,26839,11895,0.8,145473,24172,11898,0.7
2025-07-01,2025-05-01,543986,90058,37974,199904,33123,12641,0.75,181012,30124,12636,0.8,163070,26811,12697,0.75
2025-08-01,2025-06-01,601914,98950,39699,220398,35739,13187,0.65,200306,33101,13250,0.55,181210,30110,13262,0.6
2025-09-01,2025-07-01,663528,106560,40959,242249,37735,13631,0.75,220792,35720,13655,0.6,200487,33105,13673,0.55
2025-10-01,2025-08-01,728652,113009,42632,264983,39459,14222,0.8,242659,37781,14242,0.7,221010,35769,14168,0.7
2025-11-01,2025-09-01,796793,118438,43300,288552,41040,14573,0.8,265378,39541,14509,0.75,242863,37857,14218,0.7
2025-12-01,2025-10-01,867380,123205,44289,312795,42426,14775,0.65,288971,41147,14484,0.65,265614,39632,15030,0.7
