forecast_origin,horizon,behavior_segment,calibration_n_rows,evaluation_n_rows,selection_scope,chosen_expert,calibration_selection_wape,evaluation_segment_wape
2025-01-01,1,regular,3951,1173,CALIBRATION_SEGMENT,lightgbm_tweedie,0.7842196693349615,0.8633083721444135
2025-01-01,1,intermittent,11167,4912,CALIBRATION_SEGMENT,hurdle,0.9325934819360516,1.0445618258867913
2025-01-01,1,very_sparse,4303,1325,CALIBRATION_SEGMENT,hurdle,1.0334136996201289,0.9831007142314562
2025-01-01,2,regular,3811,1169,CALIBRATION_SEGMENT,hurdle,0.8042418447367934,0.845249062356837
2025-01-01,2,intermittent,9887,4907,CALIBRATION_SEGMENT,hurdle,0.9487543305171866,0.9779706030754123
2025-01-01,2,very_sparse,4098,1321,CALIBRATION_SEGMENT,hurdle,1.0461830479771477,1.012456177363256
2025-01-01,3,regular,3687,1174,CALIBRATION_SEGMENT,hurdle,0.8506631396049443,0.8661265618039201
2025-01-01,3,intermittent,8696,4894,CALIBRATION_SEGMENT,hurdle,0.962778238928762,0.9581445532971471
2025-01-01,3,very_sparse,3875,1326,CALIBRATION_SEGMENT,hurdle,1.0006426090608747,1.0125284075499763
2025-02-01,1,regular,3834,905,CALIBRATION_SEGMENT,hurdle,0.8019938113474095,0.772670823936897
2025-02-01,1,intermittent,12747,5332,CALIBRATION_SEGMENT,hurdle,0.9782626894945545,0.903394592430869
2025-02-01,1,very_sparse,4242,1674,CALIBRATION_SEGMENT,hurdle,1.0077668749540243,1.0911576893310775
2025-02-01,2,regular,3997,905,CALIBRATION_SEGMENT,lightgbm_tweedie,0.9122554144658215,0.7577005728413317
2025-02-01,2,intermittent,11284,5326,CALIBRATION_SEGMENT,hurdle,1.0,1.0
2025-02-01,2,very_sparse,4301,1673,CALIBRATION_SEGMENT,hurdle,1.0,1.0
2025-02-01,3,regular,3831,904,CALIBRATION_SEGMENT,lightgbm_tweedie,0.9279571065071858,0.8708362735019061
2025-02-01,3,intermittent,10003,5306,CALIBRATION_SEGMENT,hurdle,1.0,1.0
2025-02-01,3,very_sparse,4118,1665,CALIBRATION_SEGMENT,hurdle,1.0,1.0
2025-03-01,1,regular,3415,1030,CALIBRATION_SEGMENT,lightgbm_tweedie,0.8757699459145573,0.7264960754446423
2025-03-01,1,intermittent,14339,5723,CALIBRATION_SEGMENT,hurdle,0.9828855650776912,0.8647380030870139
2025-03-01,1,very_sparse,4402,2199,CALIBRATION_SEGMENT,hurdle,1.028461292883344,0.9531869551459774
2025-03-01,2,regular,3886,1024,CALIBRATION_SEGMENT,hurdle,0.9497770199380039,0.8940040865704785
2025-03-01,2,intermittent,12880,5703,CALIBRATION_SEGMENT,hurdle,1.0128595338029773,0.984015463725099
2025-03-01,2,very_sparse,4238,2191,CALIBRATION_SEGMENT,hurdle,1.0253536536737438,0.973989487129083
2025-03-01,3,regular,4025,1026,CALIBRATION_SEGMENT,hurdle,0.9984006462128009,1.0
2025-03-01,3,intermittent,11407,5702,CALIBRATION_SEGMENT,hurdle,0.9994689753921607,1.0
2025-03-01,3,very_sparse,4329,2175,CALIBRATION_SEGMENT,hurdle,1.0,1.0
2025-04-01,1,regular,3108,1405,CALIBRATION_SEGMENT,hurdle,0.7865481257516355,0.82428388462981
2025-04-01,1,intermittent,15967,6245,CALIBRATION_SEGMENT,hurdle,0.9026107120924239,1.056610787906716
2025-04-01,1,very_sparse,5198,2375,CALIBRATION_SEGMENT,hurdle,0.9951375335178021,1.0702235202511625
2025-04-01,2,regular,3506,1406,CALIBRATION_SEGMENT,lightgbm_tweedie,0.8975193015093963,0.8573242231287345
2025-04-01,2,intermittent,14583,6238,CALIBRATION_SEGMENT,hurdle,0.9865149729511123,0.9532213194112445
2025-04-01,2,very_sparse,4451,2373,CALIBRATION_SEGMENT,hurdle,1.0418588438186813,1.0141232501323938
2025-04-01,3,regular,3981,1407,CALIBRATION_SEGMENT,moving_average_3,0.9188503079445272,0.9938051627254165
2025-04-01,3,intermittent,13074,6245,CALIBRATION_SEGMENT,hurdle,1.0139104239101229,0.9942620439379682
2025-04-01,3,very_sparse,4302,2381,CALIBRATION_SEGMENT,hurdle,1.1089664831596124,1.0470830538190743
2025-05-01,1,regular,3340,1527,CALIBRATION_SEGMENT,hurdle,0.7941344561958741,0.7244038993302857
2025-05-01,1,intermittent,17300,6962,CALIBRATION_SEGMENT,hurdle,0.9109428304796863,0.9043303481273073
2025-05-01,1,very_sparse,6248,2702,CALIBRATION_SEGMENT,hurdle,1.0286887819556476,0.9752888648888072
2025-05-01,2,regular,3098,1534,CALIBRATION_SEGMENT,hurdle,0.7961540010643122,0.7788739298940451
2025-05-01,2,intermittent,15936,6969,CALIBRATION_SEGMENT,hurdle,0.9274543279419207,0.919559381855941
2025-05-01,2,very_sparse,5185,2686,CALIBRATION_SEGMENT,hurdle,1.0470479896509084,0.9937812086933048
2025-05-01,3,regular,3507,1526,CALIBRATION_SEGMENT,hurdle,0.7807367030036707,0.7891702360922805
2025-05-01,3,intermittent,14543,6960,CALIBRATION_SEGMENT,hurdle,0.9542223643608743,0.9791177316896713
2025-05-01,3,very_sparse,4446,2688,CALIBRATION_SEGMENT,hurdle,1.0800090151970514,1.0326881331165225
2025-06-01,1,regular,3962,1827,CALIBRATION_SEGMENT,hurdle,0.7323836236413906,0.722754127988461
2025-06-01,1,intermittent,18930,7667,CALIBRATION_SEGMENT,hurdle,0.9192631443052096,0.8867803573693832
2025-06-01,1,very_sparse,7276,2413,CALIBRATION_SEGMENT,hurdle,0.9903915560530586,1.024318885712632
2025-06-01,2,regular,3335,1819,CALIBRATION_SEGMENT,hurdle,0.812421878201114,0.9582504606272841
2025-06-01,2,intermittent,17267,7662,CALIBRATION_SEGMENT,hurdle,0.9529526741154918,0.9815083485955843
2025-06-01,2,very_sparse,6237,2414,CALIBRATION_SEGMENT,hurdle,1.0051194712561202,1.0031291528142028
2025-06-01,3,regular,3104,1839,CALIBRATION_SEGMENT,hurdle,0.7855790950217967,0.9994639984109263
2025-06-01,3,intermittent,15902,7655,CALIBRATION_SEGMENT,hurdle,0.959093156025016,0.993448549535965
2025-06-01,3,very_sparse,5166,2404,CALIBRATION_SEGMENT,hurdle,1.0445999926248895,1.0415004578513052
2025-07-01,1,regular,4759,1771,CALIBRATION_SEGMENT,hurdle,0.7489477473783027,0.7563197045001289
2025-07-01,1,intermittent,20874,8349,CALIBRATION_SEGMENT,hurdle,0.9422130771016018,0.922753637280349
2025-07-01,1,very_sparse,7490,2521,CALIBRATION_SEGMENT,hurdle,1.0308200931034799,0.950734019600323
2025-07-01,2,regular,3964,1774,CALIBRATION_SEGMENT,hurdle,0.8083834329922519,0.9602452629188142
2025-07-01,2,intermittent,18910,8350,CALIBRATION_SEGMENT,hurdle,0.9708560383404878,0.9815008556712707
