model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
naive_1,PAIR,135448,1.0989532537136504,134.29148891087357,2680467.13,0.16194540109117836,16551671.809999999,19232138.94
seasonal_naive_12,PAIR,135448,1.4532728189709074,177.58914675742722,-3114022.19,-0.18813943544473893,16551671.809999999,13437649.620000001
moving_average_3,PAIR,135448,0.9477468294485235,115.81414624062373,2733755.38,0.16516490970708778,16551671.809999999,19285427.19
croston_sba,PAIR,135448,2.0195311391112645,246.7856049897016,24455852.693386234,1.4775457714555926,16551671.809999999,41007524.50338623
tsb,PAIR,135448,1.6719002012722417,204.30529376979422,18859210.732258476,1.1394142506416987,16551671.809999999,35410882.54225847
lightgbm_tweedie,PAIR,135448,0.7777062747967908,95.03528309767701,-3120186.376867809,-0.18851185624540298,16551671.809999999,13431485.433132194
hurdle,PAIR,135448,0.7969846579809715,97.3910910202154,-10328466.872202639,-0.6240135130012971,16551671.809999999,6223204.937797362
behavior_gated,PAIR,135448,0.7906237759946318,96.61379470679599,-9969169.785583034,-0.6023059120565679,16551671.809999999,6582502.024416967
naive_1,BASE_SKU,12837,0.5794081274742241,747.0727716756252,2680467.13,0.16194540109117836,16551671.809999999,19232138.940000005
seasonal_naive_12,BASE_SKU,12837,1.1935769157810532,1538.9649754615564,-3114022.1899999995,-0.1881394354447389,16551671.809999999,13437649.620000001
moving_average_3,BASE_SKU,12837,0.5218091791055155,672.8062849575447,2733755.38,0.16516490970708778,16551671.809999999,19285427.19
croston_sba,BASE_SKU,12837,1.584063652875711,2042.447745466116,24455852.693386227,1.4775457714555922,16551671.809999999,41007524.50338623
tsb,BASE_SKU,12837,1.244453022298936,1604.5632163320556,18859210.732258476,1.1394142506416987,16551671.809999999,35410882.54225847
lightgbm_tweedie,BASE_SKU,12837,0.44757549114750866,577.0914263202558,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.433132192
hurdle,BASE_SKU,12837,0.6674972842893695,860.6524876235812,-10328466.872202639,-0.6240135130012971,16551671.809999999,6223204.937797362
behavior_gated,BASE_SKU,12837,0.6519062506250587,840.549841180461,-9969169.785583034,-0.6023059120565679,16551671.809999999,6582502.024416967
naive_1,BRANCH,655,0.3709816833300298,9374.606213740459,2680467.13,0.16194540109117836,16551671.809999999,19232138.94
seasonal_naive_12,BRANCH,655,0.6413255997250227,16206.123435114507,-3114022.19,-0.18813943544473893,16551671.809999999,13437649.620000001
moving_average_3,BRANCH,655,0.3555864499708203,8985.572854961832,2733755.38,0.16516490970708778,16551671.809999999,19285427.19
croston_sba,BRANCH,655,1.485924317293503,37548.90325853491,24455852.693386227,1.4775457714555922,16551671.809999999,41007524.50338623
tsb,BRANCH,655,1.1487016509842745,29027.378220911254,18859210.732258476,1.1394142506416987,16551671.809999999,35410882.54225847
lightgbm_tweedie,BRANCH,655,0.309997821623723,7833.560618825625,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.43313219
hurdle,BRANCH,655,0.6329079763735874,15993.412383002827,-10328466.872202639,-0.6240135130012971,16551671.809999999,6223204.937797362
behavior_gated,BRANCH,655,0.6123942763907815,15475.036765103276,-9969169.785583034,-0.6023059120565679,16551671.809999999,6582502.024416967
naive_1,PORTFOLIO,12,0.26377664323686223,363828.70249999996,2680467.13,0.16194540109117836,16551671.809999999,19232138.94
seasonal_naive_12,PORTFOLIO,12,0.248808655540881,343183.2675,-3114022.1900000004,-0.18813943544473896,16551671.809999999,13437649.620000001
moving_average_3,PORTFOLIO,12,0.22925406590695332,316211.50500000006,2733755.3800000004,0.1651649097070878,16551671.809999999,19285427.189999994
croston_sba,PORTFOLIO,12,1.4775457714555922,2037987.7244488522,24455852.693386227,1.4775457714555922,16551671.809999999,41007524.50338623
tsb,PORTFOLIO,12,1.1394142506416987,1571600.894354873,18859210.732258476,1.1394142506416987,16551671.809999999,35410882.54225848
lightgbm_tweedie,PORTFOLIO,12,0.1933249381192616,266654.244036548,-3120186.3768678084,-0.18851185624540295,16551671.809999999,13431485.433132192
hurdle,PORTFOLIO,12,0.6240135130012971,860705.5726835532,-10328466.872202639,-0.6240135130012971,16551671.809999999,6223204.937797362
behavior_gated,PORTFOLIO,12,0.6023059120565678,830764.148798586,-9969169.785583032,-0.6023059120565678,16551671.809999999,6582502.024416966
