threshold,wape,zero_false_positive_rate,mae,bias_ratio,forecast_origin,horizon
0.0,0.9414132743914638,1.0,57.0282606141139,-0.13548173849404158,2025-01-01,1
0.05,0.9404369677045432,0.9555579353180552,56.969118605289985,-0.13651887012485195,2025-01-01,1
0.1,0.9363754408788149,0.8045620047119297,56.72308233555651,-0.1418952832335476,2025-01-01,1
0.15,0.932329751744965,0.6983294067252088,56.47800547020424,-0.147757251015908,2025-01-01,1
0.2,0.9279000585452309,0.6173698864853288,56.209666680953255,-0.1543886901436958,2025-01-01,1
0.25,0.9230098169260258,0.5514028699935747,55.91342911864962,-0.1634231148567616,2025-01-01,1
0.3,0.9176607076324944,0.4883272649389591,55.58939459827165,-0.17433636971593844,2025-01-01,1
0.35,0.914123960120191,0.4333904476333262,55.37514803478621,-0.1871559026667878,2025-01-01,1
0.4,0.9074448925164201,0.3822017562647248,54.97054825026188,-0.2049086950611854,2025-01-01,1
0.45,0.9017432962553285,0.32865710002141785,54.62516102624575,-0.22482804200768108,2025-01-01,1
0.5,0.8965957966823804,0.281751981152281,54.313339475453546,-0.24934148484839277,2025-01-01,1
0.55,0.8905678821519015,0.2345255943456843,53.94818477649737,-0.27803293156062875,2025-01-01,1
0.6,0.8868951139356387,0.19522381666309702,53.725698448006135,-0.3122057986501087,2025-01-01,1
0.65,0.8827425897739171,0.1593488969800814,53.474149806678405,-0.3521781884382028,2025-01-01,1
0.7,0.8891143622745696,0.12508031698436495,53.86013448803521,-0.4067415069401487,2025-01-01,1
0.75,0.8956164864912205,0.09166845148854144,54.25401552249608,-0.4745992757267079,2025-01-01,1
0.8,0.9096064181805296,0.059006211180124224,55.1014876073435,-0.5651680599215045,2025-01-01,1
0.85,0.9243818470305719,0.028378667808952665,55.99654297788752,-0.682052256797902,2025-01-01,1
0.9,0.951406765983284,0.008460055686442492,57.633639206540984,-0.8163067672268373,2025-01-01,1
0.95,0.9970744125190608,0.0,60.400061264864924,-0.9912838848514034,2025-01-01,1
0.0,0.9463589630205171,1.0,57.479500914859635,-0.20373188844625964,2025-01-01,2
0.05,0.945619848695629,0.9601106755821996,57.434608940277386,-0.2045628242897688,2025-01-01,2
0.1,0.9423681964784466,0.8364076550611022,57.23711163334029,-0.20897374554785778,2025-01-01,2
0.15,0.9380247450678633,0.7162785335485359,56.97330114589964,-0.21540367800187726,2025-01-01,2
0.2,0.9332496088756582,0.6240488817154716,56.683271193361975,-0.22389935126466232,2025-01-01,2
0.25,0.92847180006292,0.549227576665898,56.3930789124686,-0.23366243005290485,2025-01-01,2
0.3,0.9231467181439318,0.4842056721235877,56.06964661775323,-0.2439994664522494,2025-01-01,2
0.35,0.919258491944821,0.42391053723772193,55.83348538284968,-0.2580786386053814,2025-01-01,2
0.4,0.9168952667644734,0.368457459073092,55.68994893502839,-0.2763628595722935,2025-01-01,2
0.45,0.9132033253019033,0.31531012220428867,55.46570954916354,-0.3000009941723101,2025-01-01,2
0.5,0.9083666115242984,0.2667742679271386,55.17193952651018,-0.3276827824333665,2025-01-01,2
0.55,0.9044592646432669,0.22354161863038968,54.934616948715714,-0.35832823432489413,2025-01-01,2
0.6,0.9022263020601705,0.18146183998155407,54.79899232861567,-0.39510646886079315,2025-01-01,2
0.65,0.8996017998516262,0.14445469218353701,54.63958656083429,-0.4416598997422566,2025-01-01,2
0.7,0.8977774252326156,0.10836984090385059,54.52877856230509,-0.49546038093600625,2025-01-01,2
0.75,0.8991371080547532,0.07459073091999077,54.611362331332366,-0.5658354325886027,2025-01-01,2
0.8,0.9131095766521562,0.04484666820382753,55.460015488231626,-0.6661678901851998,2025-01-01,2
0.85,0.9459200776043225,0.01648605026516025,57.45284410104222,-0.8037574719987629,2025-01-01,2
0.9,0.9848925327312964,0.003919760202905234,59.81993455789739,-0.9294603426931398,2025-01-01,2
0.95,1.0,0.0,60.73752472465723,-1.0,2025-01-01,2
0.0,0.9605574176322846,1.0,57.694868622218856,-0.2878163603655654,2025-01-01,3
0.05,0.9603995490604148,0.993100852985449,57.685386412882465,-0.28797422893743524,2025-01-01,3
0.1,0.9566868781156134,0.9010286001003512,57.46238874666711,-0.29224118281697725,2025-01-01,3
0.15,0.9507494415702635,0.7473657802308078,57.105762880114426,-0.30155680224760395,2025-01-01,3
0.2,0.9456439057407298,0.6290767686904165,56.79910425302573,-0.3118062725986329,2025-01-01,3
0.25,0.9418217001265339,0.5490466633216257,56.56952750237015,-0.3225335918226199,2025-01-01,3
0.3,0.9351964541489393,0.46600602107375816,56.171589087392924,-0.3367062591344176,2025-01-01,3
