model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
naive_1,ROLLING_PRIMARY,,,420846,1.2571518487417366,51.893458010768796,2869590.689999999,0.16518548305822253,0.2594002298085936,0.9128161218584213
naive_1,ROLLING_PRIMARY,1.0,,140425,1.1261999038244677,51.43489535339149,338679.82,0.052808339655600035,0.22897240610245095,0.8781823705357873
naive_1,ROLLING_PRIMARY,2.0,,140096,1.2890845947713199,52.06048538145272,1058177.5,0.18702772573016482,0.2658522528223847,0.9216300385880233
naive_1,ROLLING_PRIMARY,3.0,,140325,1.3815079839932334,52.18559265989666,1472733.3699999999,0.27783813534738716,0.2811243667265893,0.9453121613057818
naive_1,ROLLING_PRIMARY,,regular,51219,1.0311178616499879,120.52066928288329,1570327.02,0.2623045256472068,0.7904483430799221,0.7865697907069733
naive_1,ROLLING_PRIMARY,,intermittent,289442,1.3677446112644576,43.72775519793258,1001082.8399999999,0.10818232128376985,0.24579211575372803,0.9930211156610315
naive_1,ROLLING_PRIMARY,,very_sparse,80185,1.4118703479239405,37.53267007545052,298180.8300000001,0.13988525594084483,0.16546847179762825,0.9191978369928377
seasonal_naive_12,ROLLING_PRIMARY,,,420846,1.4828517239758086,61.21003103272932,-3584259.720000001,-0.2063247818992366,0.241317922046506,1.053545179874297
seasonal_naive_12,ROLLING_PRIMARY,1.0,,140425,1.4092421784836295,64.36177425672068,-1816719.87,-0.28327037599712185,0.240325527321043,1.045706169286728
seasonal_naive_12,ROLLING_PRIMARY,2.0,,140096,1.492249425337052,60.26542378083599,-1062251.3099999998,-0.18774775183103803,0.2406965837561731,1.05784192591652
seasonal_naive_12,ROLLING_PRIMARY,3.0,,140325,1.5618820043214159,58.99910750044539,-705288.5399999999,-0.133056028217437,0.242828348858746,1.0584434358257577
seasonal_naive_12,ROLLING_PRIMARY,,regular,51219,1.030394989007737,120.4361773951073,-3446991.2900000005,-0.5757790598505422,0.15828460038986356,0.9436122022720723
seasonal_naive_12,ROLLING_PRIMARY,,intermittent,289442,1.867609119526816,59.70877436584876,1813173.7299999995,0.19594117006555758,0.31438379279070255,1.1369601441186556
seasonal_naive_12,ROLLING_PRIMARY,,very_sparse,80185,1.0832886542752138,28.797768659973812,-1950442.1600000001,-0.9150088580456838,0.030033258306177982,1.0001756184177282
moving_average_3,ROLLING_PRIMARY,,,420846,1.1744147011719284,48.47818506848904,2775046.9933333336,0.15974315769160616,0.5095476399262193,0.7876380413550569
moving_average_3,ROLLING_PRIMARY,1.0,,140425,1.063527169081134,48.5725566672601,302423.83666666667,0.04715515877693286,0.4889315965549149,0.7599966032458721
moving_average_3,ROLLING_PRIMARY,2.0,,140096,1.1986844815959892,48.40962042694533,1042206.6900000001,0.18420496275101572,0.511995841291008,0.7975409622493707
moving_average_3,ROLLING_PRIMARY,3.0,,140325,1.2826739393522844,48.452198966684485,1430416.466666666,0.26985485082670774,0.5261208258430027,0.8105115980320211
moving_average_3,ROLLING_PRIMARY,,regular,51219,0.9388176888945641,109.73230161984159,1474381.1499999997,0.24627790469652186,0.9846653671215074,0.6867282334110711
moving_average_3,ROLLING_PRIMARY,,intermittent,289442,1.3201015678990686,42.20457366242631,2034537.4766666663,0.21986291061049829,0.5177701377317501,0.8412527318048794
moving_average_3,ROLLING_PRIMARY,,very_sparse,80185,1.2036419129938398,31.997197813389874,-733871.6333333333,-0.34428041955802163,0.3605334766687943,0.8382945860822374
croston_sba,ROLLING_PRIMARY,,,420846,2.225665697858414,91.87234585338568,24842632.257839948,1.4300444395256504,0.9949275800550331,0.8342775988278319
croston_sba,ROLLING_PRIMARY,1.0,,140425,1.9954573916351193,91.13492353565412,7672534.669988757,1.19633291665306,0.9946734049873064,0.8055951165129689
croston_sba,ROLLING_PRIMARY,2.0,,140096,2.2786945407084054,92.02650028285436,8397273.46910433,1.4841772379972493,0.9949711263546882,0.8463683748087756
croston_sba,ROLLING_PRIMARY,3.0,,140325,2.4475958895823395,92.45639082054483,8772824.118746858,1.6550348790448148,0.9951190281636433,0.8560754503602517
croston_sba,ROLLING_PRIMARY,,regular,51219,1.0217334606495536,119.42378760576689,2229990.370078392,0.3724934735067169,1.0,0.702654348042972
croston_sba,ROLLING_PRIMARY,,intermittent,289442,2.650037388723587,84.72355529322405,16645822.507489696,1.7988358671075195,1.0,0.9046250209368722
croston_sba,ROLLING_PRIMARY,,very_sparse,80185,3.7646597958352808,100.07840611651574,5966819.380271861,2.799207635722666,0.9774582591460342,0.8985537770612441
