forecast_origin,model,universe,horizon,segment,n_rows,wape,mae,bias,bias_ratio,zero_false_positive_rate,positive_wape
2025-01-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,22201,0.9975650673666082,60.446119613566836,-529151.3479533589,-0.393350925551559,1.0,0.7860335943598425
2025-01-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,7410,1.0356702215280664,51.15457971881256,-120263.32765325326,-0.32858821020979767,1.0,0.7785059651130655
2025-01-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,7397,0.9938158231072318,61.811727390191535,-179254.56812390737,-0.3896275340987837,1.0,0.7850355475558337
2025-01-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,7394,0.9740245834678574,68.39160377591962,-229633.4521761982,-0.4423060081642074,1.0,0.7922247475076529
2025-01-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,22201,1.0127110572042595,61.363870588758196,-436658.7081511477,-0.3245954256107111,1.0,0.7772220863178796
2025-01-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,7410,1.071521128202365,52.92535387581811,-78959.53842138106,-0.21573636714659383,1.0,0.767952783419066
2025-01-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,7397,1.009153388477549,62.76566813802062,-146359.3557513475,-0.3181265363026394,1.0,0.7800652672507594
2025-01-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,7394,0.9744045205723227,68.41828124212468,-211339.8139784192,-0.4070699133819396,1.0,0.781237150233502
2025-02-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,23690,0.9537651524201175,61.44678293745851,-511743.2134415461,-0.33529674052949154,1.0,0.7323894281388247
2025-02-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,7911,0.9382832320091833,63.28679006797659,-153878.2681856763,-0.2883810985720783,1.0,0.720588024685315
2025-02-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,7904,0.8927398206754855,66.54174501575342,-233672.44637120466,-0.3966352375889363,1.0,0.7221206748437877
2025-02-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,7875,1.0633371324750864,54.48463986744304,-124192.49888466515,-0.30778092358407494,1.0,0.7629881023539855
2025-02-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,23690,0.9636233625032151,62.08190290760095,-420281.2075784055,-0.27537037190808683,1.0,0.7222182015260693
2025-02-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,7911,0.9436615738019243,63.6495568491991,-93231.27599295761,-0.17472342332111346,1.0,0.697085872791025
2025-02-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,7904,0.9079316033274906,67.67408806145691,-217181.2701953276,-0.3686431414637081,1.0,0.7209121247639874
2025-02-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,7875,1.07133224875548,54.89430395038691,-109868.66139012031,-0.27228277375271204,1.0,0.7573596477596107
2025-03-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,26773,0.9850746350216614,59.86701851505195,-350024.88751687173,-0.21512128979918563,1.0,0.7120310074840349
2025-03-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,8952,0.8634430633144685,68.24671526798319,-204565.09717150382,-0.2891102001256753,1.0,0.6835568585790389
2025-03-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,8918,1.0896003436891286,58.68986612841294,-49097.27557564359,-0.10221015297845898,1.0,0.7322121260005536
2025-03-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,8903,1.0667107885696216,52.62033758186157,-96362.51476972431,-0.21941423976674643,1.0,0.7358327539760471
2025-03-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,26773,0.9768846695017963,59.36928078028161,-303550.2648761646,-0.1865585186307571,1.0,0.6982996098745519
2025-03-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,8952,0.8376258957516248,66.20612109501744,-174890.48031223338,-0.2471713037183193,1.0,0.6564580167901078
2025-03-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,8918,1.0834291314823508,58.357462031476324,-40364.49530307471,-0.08403034977916846,1.0,0.7256656610863071
2025-03-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,8903,1.0847121377631754,53.50833560498455,-88295.28926085647,-0.201045435711715,1.0,0.7357792043263601
2025-04-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,30075,1.0919674357095273,56.59647576576487,-12962.41800416306,-0.008315735833927255,1.0,0.7212669119715249
2025-04-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,10025,1.1307157590397023,62.26448123836045,114220.28439731344,0.2069054483353173,1.0,0.7174263566157997
2025-04-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,10017,1.0654031706768652,54.30976207917212,-40539.490411898034,-0.07939199151105643,1.0,0.7091596792250814
2025-04-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,10033,1.076192309800796,53.216056762060006,-86643.2119895785,-0.17464289631195953,1.0,0.7380016783581085
2025-04-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,30075,1.0935170552417453,56.676792267368555,33623.61378913587,0.02157044233279999,1.0,0.7167576950548865
2025-04-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,10025,1.117028104699261,61.51075096612883,133274.2304151646,0.24142090471141048,1.0,0.7157803575744308
2025-04-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,10017,1.0792965402617318,55.017987488481474,-25369.223142003393,-0.04968274459959425,1.0,0.7073054887352695
2025-04-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,10033,1.0819920991401715,53.50284743681341,-74281.39348402534,-0.1497257246384041,1.0,0.7275738207912659
2025-05-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,33554,0.9992813161436599,48.032146846315676,-262077.23497309233,-0.16249528614113584,1.0,0.7155083804946603
2025-05-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,11191,0.9598532696264592,50.48257483941895,-80164.1160808579,-0.1361991707310946,1.0,0.6968919440082584
2025-05-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,11189,0.9740743576742604,49.77236686103184,-142063.21068559837,-0.24848156234594593,1.0,0.7206006719188521
2025-05-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,11174,1.0824105872871885,43.835434709616365,-39849.90820663604,-0.08806135671292835,1.0,0.733288354448397
2025-05-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,33554,0.9873969785007238,47.46090605394342,-302574.8682818358,-0.18760496235249663,1.0,0.7113973376869385
2025-05-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,11191,0.935443611102202,49.198771937195126,-92972.33506318057,-0.15796038870766463,1.0,0.6885265047446523
2025-05-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,11189,0.9788173166027349,50.01471826874006,-146885.44991421973,-0.25691610026572853,1.0,0.7243055459484902
2025-05-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,11174,1.065810275791644,43.16315574332687,-62717.08330443551,-0.13859383103789996,1.0,0.7248360978556018
2025-06-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,35700,1.0257213459994965,41.96843671631698,-157506.71567699406,-0.10782946755181967,1.0,0.7177620055818802
2025-06-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,1.0,,11907,0.9207827872600315,46.645980613229646,-101109.69217800302,-0.1676229190316386,1.0,0.6939806225576393
2025-06-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,2.0,,11895,1.032336529110606,42.0781271854798,-55912.24257309978,-0.115320723486929,1.0,0.7184882128549341
2025-06-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,3.0,,11898,1.18696963836647,37.17769177504693,-484.78092589128573,-0.0013008545697421549,1.0,0.7553100171904337
2025-06-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,,,35700,1.0037847708918377,41.0708793360702,-201126.52967010945,-0.13769169467890116,1.0,0.7149270065112147
2025-06-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,1.0,,11907,0.897306928252165,45.45671591442006,-117877.15410593213,-0.19542055991618684,1.0,0.6913081888542513
2025-06-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,2.0,,11895,0.9999711953514442,40.758913351700414,-73079.55939793873,-0.150728843523993,1.0,0.7111042560892625
2025-06-01,soft_two_part_expected,ROLLING_PRIMARY_SAME_ROWS,3.0,,11898,1.1810925520280593,36.99361250514625,-10169.81616623859,-0.027289546941159717,1.0,0.7581301565886512
2025-07-01,lightgbm_reference,ROLLING_PRIMARY_SAME_ROWS,,,37974,1.0929618958170984,38.67504037936539,-4287.017116551404,-0.003190385163051662,1.0,0.7238358189782729
