forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-01-01,lightgbm_reference,PAIR,7263,0.8316833001320224,151.69041824099648,-524216.5477053687,-0.3957259352594151,1324695.96,800479.4122946314
2025-01-01,soft_two_part_expected,PAIR,7263,0.8327148197715764,151.87855673737232,-433344.2393764276,-0.327127320125916,1324695.96,891351.7206235726
2025-01-01,lightgbm_reference,BASE_SKU,769,0.625137856186687,1076.875933073557,-524216.5477053688,-0.39572593525941513,1324695.96,800479.4122946314
2025-01-01,soft_two_part_expected,BASE_SKU,769,0.6170745519059438,1062.9859114806425,-433344.2393764276,-0.327127320125916,1324695.96,891351.7206235725
2025-01-01,lightgbm_reference,BRANCH,42,0.4405729928919174,13895.839613548374,-524216.5477053688,-0.39572593525941513,1324695.96,800479.4122946314
2025-01-01,soft_two_part_expected,BRANCH,42,0.38581925016630775,12168.88576156041,-433344.23937642755,-0.32712732012591594,1324695.96,891351.7206235725
2025-01-01,lightgbm_reference,PORTFOLIO,1,0.3957259352594151,524216.5477053687,-524216.5477053687,-0.3957259352594151,1324695.96,800479.4122946312
2025-01-01,soft_two_part_expected,PORTFOLIO,1,0.327127320125916,433344.2393764276,-433344.2393764276,-0.327127320125916,1324695.96,891351.7206235724
2025-02-01,lightgbm_reference,PAIR,7718,0.7579213222762186,145.0511761147253,-485617.1880417206,-0.32876997312117645,1477072.81,991455.6219582794
2025-02-01,soft_two_part_expected,PAIR,7718,0.75640143286689,144.76029929162004,-394688.72727352526,-0.2672100688614837,1477072.81,1082384.0827264749
2025-02-01,lightgbm_reference,BASE_SKU,843,0.5295592154229439,927.8736872908223,-485617.1880417207,-0.32876997312117656,1477072.81,991455.6219582795
2025-02-01,soft_two_part_expected,BASE_SKU,843,0.5153901319119676,903.0471534869286,-394688.7272735253,-0.26721006886148374,1477072.81,1082384.0827264749
2025-02-01,lightgbm_reference,BRANCH,51,0.3773597459945321,10929.17294896137,-485617.18804172066,-0.32876997312117645,1477072.8100000003,991455.6219582794
2025-02-01,soft_two_part_expected,BRANCH,51,0.336396590090805,9742.789345094972,-394688.7272735254,-0.26721006886148374,1477072.8100000003,1082384.0827264746
2025-02-01,lightgbm_reference,PORTFOLIO,1,0.3287699731211765,485617.18804172066,-485617.18804172066,-0.3287699731211765,1477072.81,991455.6219582794
2025-02-01,soft_two_part_expected,PORTFOLIO,1,0.26721006886148385,394688.72727352544,-394688.72727352544,-0.26721006886148385,1477072.81,1082384.0827264746
