origin,calibration_start_target_month,fit_rows,calibration_rows,evaluation_rows,horizon_rows.H1.fit,horizon_rows.H1.calibration,horizon_rows.H1.evaluation,horizon_rows.H1.positive_fit,horizon_rows.H1.positive_calibration,horizon_rows.H1.occurrence_n_estimators,horizon_rows.H1.positive_quantity_n_estimators,horizon_rows.H2.fit,horizon_rows.H2.calibration,horizon_rows.H2.evaluation,horizon_rows.H2.positive_fit,horizon_rows.H2.positive_calibration,horizon_rows.H2.occurrence_n_estimators,horizon_rows.H2.positive_quantity_n_estimators,horizon_rows.H3.fit,horizon_rows.H3.calibration,horizon_rows.H3.evaluation,horizon_rows.H3.positive_fit,horizon_rows.H3.positive_calibration,horizon_rows.H3.occurrence_n_estimators,horizon_rows.H3.positive_quantity_n_estimators
2025-01-01,2024-11-01,243649,53475,22201,95870,19421,7410,40951,10083,138,167,81051,17796,7397,34192,9122,138,113,66728,16258,7394,27277,8286,105,96
2025-02-01,2024-12-01,288597,58357,23690,111586,20823,7911,46681,9239,116,144,96014,19582,7904,39500,8584,64,124,80997,17952,7875,32262,7860,66,94
2025-03-01,2025-01-01,335649,62921,26773,128040,22156,8952,52782,9054,100,167,111692,21004,8918,45158,8468,54,119,95917,19761,8903,37526,8016,51,86
2025-04-01,2025-02-01,383851,68170,30075,144753,24273,10025,57214,10678,197,174,127806,22540,10017,49346,9550,72,165,111292,21357,10033,41454,9002,56,91
2025-05-01,2025-03-01,435696,73603,33554,162391,26888,11191,60867,12659,151,193,145231,24219,11189,52948,10901,99,170,128074,22496,11174,44887,9835,101,176
2025-06-01,2025-04-01,488894,81179,35700,180579,30168,11907,65992,14062,278,145,162842,26839,11895,57727,11852,144,127,145473,24172,11898,49601,10198,107,150
2025-07-01,2025-05-01,543986,90058,37974,199904,33123,12641,72038,14661,352,130,181012,30124,12636,62991,12812,155,106,163070,26811,12697,54521,10784,100,127
2025-08-01,2025-06-01,601914,98950,39699,220398,35739,13187,77627,15248,264,116,200306,33101,13250,67893,13626,422,102,181210,30110,13262,58738,11904,381,91
2025-09-01,2025-07-01,663528,106560,40959,242249,37735,13631,83646,14840,334,188,220792,35720,13655,73086,13722,237,155,200487,33105,13673,63271,12300,438,109
2025-10-01,2025-08-01,728652,113009,42632,264983,39459,14222,89695,14423,368,222,242659,37781,14242,78723,13489,197,231,221010,35769,14168,68170,12507,179,146
2025-11-01,2025-09-01,796793,118438,43300,288552,41040,14573,95355,14330,238,202,265378,39541,14509,83913,13477,187,203,242863,37857,14218,72980,12663,160,149
2025-12-01,2025-10-01,867380,123205,44289,312795,42426,14775,100292,15426,390,206,288971,41147,14484,88565,14639,464,202,265614,39632,15030,77275,13794,347,162
