fractional_part_3dp,n_rows,row_rate
0.0,17912,0.11461626076607072
0.2,6508,0.04164373744225035
0.8,6445,0.04124060968274485
0.4,6097,0.03901380872547639
0.5,6064,0.03880264656573542
0.6,6011,0.03846350733948477
0.88,4851,0.03104083748192324
0.08,4822,0.030855270735484202
0.32,4603,0.029453921857203188
0.96,4560,0.029178771164207373
0.44,4466,0.02857727895161187
0.92,4340,0.027771023432600878
0.76,4326,0.0276814394860441
0.16,4251,0.027201525486632794
0.24,4201,0.02688158282035859
0.64,4046,0.02588976055490856
0.04,4039,0.02584496858163017
0.28,4027,0.025768182341724365
0.84,3993,0.025550621328657906
0.36,3976,0.025441840822124674
0.72,3972,0.02541624540882274
0.12,3960,0.02533945916891693
0.52,3920,0.02508350503589757
0.68,3732,0.02388052061070656
0.48,3659,0.023413404317946224
0.56,3417,0.02186488181317908
0.9,1134,0.007256299671098939
0.98,1053,0.006737992551734729
0.06,1019,0.006520431538668271
0.7,983,0.006290072818950844
0.54,943,0.006034118685931481
0.94,936,0.0059893267126530925
0.86,915,0.005854950792817927
0.25,903,0.0057781645529121186
0.75,898,0.0057461702862846974
0.14,868,0.005554204686520176
0.18,857,0.005483817299939851
0.34,821,0.005253458580222424
0.62,804,0.005144678073689195
0.1,803,0.005138279220363711
0.42,784,0.005016701007179513
0.26,776,0.004965510180575641
0.02,769,0.004920718207297252
0.78,758,0.0048503308207169275
0.22,705,0.004511191594466272
0.74,696,0.004453601914536915
0.82,687,0.0043960122346075586
0.3,668,0.004274434021423361
0.46,629,0.0040248787417294825
0.58,621,0.00397368791512561
