level,policy,n_rows,actual_sum_m2,forecast_sum_m2,wape,mae,bias_m2,bias_ratio,underforecast_m2,overforecast_m2
PAIR_3M,raw_before_aggregate,135448,16551671.809999999,13431485.433132194,0.7777062747967908,95.03528309767701,-3120186.376867809,-0.18851185624540298,7996262.7009409815,4876076.324073173
BASE_SKU_3M,raw_before_aggregate,12837,16551671.809999999,13431485.433132192,0.44757549114750866,577.0914263202558,-3120186.3768678084,-0.18851185624540295,5264154.508270467,2143968.1314026574
BRANCH_3M,raw_before_aggregate,655,16551671.809999999,13431485.43313219,0.309997821623723,7833.560618825625,-3120186.3768678084,-0.18851185624540295,4125584.291099297,1005397.9142314881
PORTFOLIO_3M,raw_before_aggregate,12,16551671.809999999,13431485.433132192,0.1933249381192616,266654.244036548,-3120186.3768678084,-0.18851185624540295,3160018.652653192,39832.275785384
PAIR_3M,round_nearest_1m2_before_aggregate,135448,16551671.809999999,13428432.0,0.7775373846057427,95.01464480833972,-3123239.81,-0.18869633508036554,7996391.710000001,4873151.899999999
BASE_SKU_3M,round_nearest_1m2_before_aggregate,12837,16551671.809999999,13428432.0,0.44748731699266336,576.9777370102049,-3123239.81,-0.18869633508036554,5264951.51,2141711.7
BRANCH_3M,round_nearest_1m2_before_aggregate,655,16551671.809999999,13428432.0,0.31000177800166284,7833.660595419848,-3123239.81,-0.18869633508036554,4127143.7499999995,1003903.94
PORTFOLIO_3M,round_nearest_1m2_before_aggregate,12,16551671.809999999,13428432.0,0.1935295701105374,266936.4941666667,-3123239.81,-0.18869633508036554,3163238.87,39999.060000000056
PAIR_3M,ceil_1m2_before_aggregate,135448,16551671.809999999,13638863.0,0.7833427788343758,95.72406082038863,-2912808.81,-0.17598275530331461,7939220.7,5026411.890000001
BASE_SKU_3M,ceil_1m2_before_aggregate,12837,16551671.809999999,13638863.0,0.4494250837855394,579.4762397756485,-2912808.81,-0.17598275530331461,5175772.65,2262963.8400000003
BRANCH_3M,ceil_1m2_before_aggregate,655,16551671.809999999,13638863.0,0.30664691327032784,7748.884076335877,-2912808.81,-0.17598275530331461,3994163.9400000004,1081355.13
PORTFOLIO_3M,ceil_1m2_before_aggregate,12,16551671.809999999,13638863.0,0.18493743865502613,255085.31583333333,-2912808.81,-0.17598275530331461,2986916.3,74107.48999999999
PAIR_3M,round_nearest_1m2_after_aggregate,135448,16551671.809999999,13431010.0,0.7776819307293888,95.03230826590277,-3120661.81,-0.18854058042128377,7996298.949999999,4875637.139999999
BASE_SKU_3M,round_nearest_1m2_after_aggregate,12837,16551671.809999999,13431469.0,0.4475737771410053,577.0892163278024,-3120202.81,-0.1885128490836117,5264148.540000001,2143945.7299999995
BRANCH_3M,round_nearest_1m2_after_aggregate,655,16551671.809999999,13431484.0,0.3099986363250638,7833.581206106871,-3120187.81,-0.18851194283074663,4125591.7499999995,1005403.94
PORTFOLIO_3M,round_nearest_1m2_after_aggregate,12,16551671.809999999,13431485.0,0.19332493821359792,266654.2441666667,-3120186.81,-0.18851188241388894,3160018.87,39832.060000000056
PAIR_3M,ceil_1m2_after_aggregate,135448,16551671.809999999,13499523.0,0.7795018073162243,95.2546961933731,-3052148.81,-0.18440124025151272,7977103.450000001,4924954.640000001
BASE_SKU_3M,ceil_1m2_after_aggregate,12837,16551671.809999999,13437867.0,0.4476385923459173,577.1727872555894,-3113804.81,-0.18812630202821792,5261485.9399999995,2147681.13
BRANCH_3M,ceil_1m2_after_aggregate,655,16551671.809999999,13431818.0,0.30999114463471233,7833.391893129771,-3119853.81,-0.18849176360028372,4125362.7499999995,1005508.94
PORTFOLIO_3M,ceil_1m2_after_aggregate,12,16551671.809999999,13431492.0,0.19332463612930956,266653.8275,-3120179.81,-0.18851145949588521,3160012.87,39833.060000000056
