dimension,bucket,horizon,n_rows,actual_sum_m2,forecast_sum_m2,wape,mae,bias_m2,bias_ratio,underforecast_m2,overforecast_m2,share_of_total_actual,share_of_total_underforecast
OVERALL,ALL,ALL,420846,17371930.250000004,14037402.20460531,1.0097204563712918,41.67983856346562,-3334528.0453946944,-0.19194919605405933,10437660.692737473,7103132.647342775,1.0,1.0
HORIZON,H1,1,140425,6413377.55,5432857.936372713,0.9685268417566739,44.23377819828844,-980519.613627285,-0.15288661956713978,3596023.95856097,2615504.3449336863,0.3691804801023766,0.3445239373476745
HORIZON,H2,2,140096,5657864.34,4546846.0569037,1.0220070326388453,41.27439145440655,-1111018.2830962988,-0.1963670771039199,3446697.7141464194,2335679.43105012,0.3256900216946242,0.3302174515545071
HORIZON,H3,3,140325,5300688.36,4057698.2113288897,1.0464467093079686,39.528864360513474,-1242990.1486711104,-0.23449598698368118,3394939.020030082,2151948.8713589706,0.305129498202999,0.3252586110978183
BEHAVIOR,intermittent,ALL,289442,9253663.890000002,7672035.468928423,1.090337800056841,34.85886474073573,-1581628.4210715792,-0.17091915590113127,5835623.9746798035,4253995.553608227,0.5326790838341064,0.5590930905370618
BEHAVIOR,regular,ALL,51219,5986656.22,4433612.742433481,0.8161684808163472,95.39663234829136,-1553043.47756652,-0.2594175146349927,3219581.794906827,1666538.3173403074,0.3446166392476736,0.30845817752506677
BEHAVIOR,very_sparse,ALL,80185,2131610.14,1931753.9932434047,1.2033409165266415,31.9891962280362,-199856.14675659558,-0.09375830176741211,1382454.9231508388,1182598.7763942434,0.12270427691821982,0.13244873193787102
DEMAND_EVENT,actual_zero,ALL,264568,0.0,4874809.372251396,,18.42554417862854,4874809.372251396,,0.0,4874809.372251396,0.0,0.0
DEMAND_EVENT_X_HORIZON,actual_zero,1,84294,0.0,1655935.4812281693,,19.644760970272728,1655935.4812281693,,0.0,1655935.4812281693,0.0,0.0
DEMAND_EVENT_X_HORIZON,actual_zero,2,88489,0.0,1636830.5894831147,,18.497560029869415,1636830.5894831147,,0.0,1636830.5894831147,0.0,0.0
DEMAND_EVENT_X_HORIZON,actual_zero,3,91785,0.0,1582043.3015401117,,17.23640356855817,1582043.3015401117,,0.0,1582043.3015401117,0.0,0.0
DEMAND_EVENT,first_positive_known_pair,ALL,110,5646.41,1115.650862065161,0.8933395896889504,45.856014478323516,-4530.75913793484,-0.8024141247154988,4787.460365275212,256.7012273403732,0.00032503066261160005,0.00045867177581336094
DEMAND_EVENT_X_HORIZON,first_positive_known_pair,1,36,1561.84,328.0228027277584,0.87811025568507,38.09632560386582,-1233.8171972722414,-0.7899766924091082,1302.6424595057056,68.82526223346383,8.990595619044692e-05,0.00012480214655876719
DEMAND_EVENT_X_HORIZON,first_positive_known_pair,2,39,2366.8700000000003,440.90081350518716,0.8728820023786692,52.97431346076926,-1925.969186494813,-0.8137198859653519,1995.9837057324073,70.01451923759402,0.00013624680538882545,0.0001912290276997808
DEMAND_EVENT_X_HORIZON,first_positive_known_pair,3,35,1717.7,346.7272458322151,0.9353761692416693,45.90558988304044,-1370.9727541677846,-0.7981444688640534,1488.8342000371001,117.86144586931536,9.88779010323277e-05,0.00014264060155481307
DEMAND_EVENT,ongoing_positive,ALL,90907,9040093.34,7006339.2292847335,0.6652125675738331,66.150942191564,-2033754.1107152663,-0.22497047698793632,4023668.9062618865,1989914.795546621,0.5203850815599491,0.38549527760195884
DEMAND_EVENT_X_HORIZON,ongoing_positive,1,33148,3363434.18,2912900.578738684,0.6542619665008448,66.38611864374793,-450533.6012613164,-0.13395047357856021,1325550.3310321362,875016.72977082,0.193613152458979,0.12699687890357025
DEMAND_EVENT_X_HORIZON,ongoing_positive,2,29588,2934189.74,2212794.3443826837,0.6649536611217177,65.94228099360488,-721395.3956173164,-0.24585846844973164,1336247.8028280488,614852.4072107323,0.16890407097967708,0.1280217706020862
DEMAND_EVENT_X_HORIZON,ongoing_positive,3,28171,2742469.42,1880644.3061633667,0.6789196690356428,66.09337371647337,-861825.1138366333,-0.31425149449310297,1361870.7724017024,500045.6585650689,0.1578678581212931,0.1304766280963025
DEMAND_EVENT,reactivation_gap_1_2,ALL,34038,2818147.32,995624.4394328945,0.7944982887648884,65.77981148208931,-1822522.8805671055,-0.6467095838577757,2030768.0518972308,208245.17133012513,0.16222419037170605,0.19456160836021807
DEMAND_EVENT_X_HORIZON,reactivation_gap_1_2,1,11580,990063.27,365799.57222605374,0.778057227114904,66.52209693648658,-624263.6977739463,-0.6305290951495921,697294.7901492303,73031.09237528412,0.05699212786097848,0.06680565796073522
DEMAND_EVENT_X_HORIZON,reactivation_gap_1_2,2,11597,933784.7,334133.1332941682,0.799717159690564,64.39282987380403,-599651.5667058318,-0.6421732618941303,673207.6073761687,73556.04067033686,0.053752501107353905,0.06449793945156569
DEMAND_EVENT_X_HORIZON,reactivation_gap_1_2,3,10861,894299.35,295691.73391267256,0.8072506064734764,66.46935757815447,-598607.6160873274,-0.6693593326298709,660265.6543718316,61658.03828450417,0.05147956140337369,0.06325801094791715
DEMAND_EVENT,reactivation_gap_3_5,ALL,9711,678834.18,106159.598803554,0.8865496681189219,61.973042630705436,-572674.581196446,-0.8436148297607022,587247.3990916132,14572.817895167253,0.03907649698282664,0.05626235766604486
DEMAND_EVENT_X_HORIZON,reactivation_gap_3_5,1,3424,241040.84000000003,40379.439349318905,0.8789284707553687,61.874315680721246,-200661.4006506811,-0.8324788473632978,206259.52877073534,5598.128120054227,0.013875305537794223,0.019761087742031197
DEMAND_EVENT_X_HORIZON,reactivation_gap_3_5,2,3254,221660.18,34793.10517721115,0.8872178788561892,60.436654802237584,-186867.07482278888,-0.8430340299407358,191763.97477463496,4896.899951846127,0.01275967476325781,0.018372313530757363
DEMAND_EVENT_X_HORIZON,reactivation_gap_3_5,3,3033,216133.16,30987.054277023963,0.8943638512919991,63.732833949723,-185146.10572297603,-0.8566298004571627,189223.89554624294,4077.7898232668995,0.012441516681774609,0.018128956393256294
DEMAND_EVENT,reactivation_gap_6plus,ALL,3075,174718.02,12847.384986979097,0.939454358092839,53.378733439464,-161870.6350130209,-0.9264678881607111,163005.12016968636,1134.4851566654493,0.010057490301056208,0.01561701658716549
DEMAND_EVENT_X_HORIZON,reactivation_gap_6plus,1,1088,66499.0,4614.919014981425,0.9409600316076762,57.511857667168066,-61884.080985018576,-0.9306016779954371,62228.49106344872,344.4100784301427,0.003827956884641532,0.005961919331862102
DEMAND_EVENT_X_HORIZON,reactivation_gap_6plus,2,1053,58869.59000000001,4557.151790442372,0.9372609040227841,52.39901722967774,-54312.43820955763,-0.9225890346706613,54744.30167620414,431.8634666465165,0.0033887765580914646,0.005244882286152034
DEMAND_EVENT_X_HORIZON,reactivation_gap_6plus,3,934,49349.42999999999,3675.3141815553,0.9400420438822149,49.66867135077333,-45674.1158184447,-0.9255246882982175,46032.32743003349,358.2116115887902,0.0028407568583232127,0.004410214969151354
DEMAND_EVENT,spike_2x_3x,ALL,8103,1852084.48,516331.55437387235,0.7280829754944572,166.41628767931687,-1335752.9256261277,-0.7212159812635155,1342112.0523458165,6359.126719688547,0.10661362631248186,0.12858360621740256
DEMAND_EVENT_X_HORIZON,spike_2x_3x,1,3117,739831.13,234551.71519030232,0.6898885341285471,163.74751805529888,-505279.4148096977,-0.6829658746715588,507840.2142940321,2560.79948433445,0.042587733162237386,0.048654600800291145
DEMAND_EVENT_X_HORIZON,spike_2x_3x,2,2636,571701.4199999999,154372.08998081234,0.7383862214930221,160.1428115842167,-417329.33001918765,-0.7299777740961142,419732.89067759144,2403.5606584037732,0.032909493175060374,0.040213310533234875
DEMAND_EVENT_X_HORIZON,spike_2x_3x,3,2350,540551.93,127407.74920275768,0.7694611578782874,176.99306976644382,-413144.1807972423,-0.764300630278468,414538.94737419265,1394.7665769503237,0.0311163999751841,0.039715694883876516
DEMAND_EVENT,spike_3x_plus,ALL,10334,2802406.5000000005,524174.97460981086,0.8185507276769928,221.97715113428828,-2278231.525390189,-0.8129554100699483,2286071.702605962,7840.1772157729565,0.16131808380936827,0.21902146179139653
DEMAND_EVENT_X_HORIZON,spike_3x_plus,1,3738,1010947.29,218348.20782247797,0.7898501210743061,213.6160619064317,-792599.082177522,-0.7840162291522854,795547.9607918819,2948.8786143598313,0.0581942982415555,0.07621899046262583
